,STUDENT_NUM,STUDY_PROGRAM,ACADEMIC_YEAR,START_DATE,END_DATE,ENROLLMENT_TYPE,EXAM_TYPE,FULL_TIME_PART,PROGRAM_ACTIVE_CODE,DATE_ACTIVE_CODE_MODIFIED,HIGHER_EDU_REGISTER,DATE_REGIS_PROOF,ESTABLISHMENT_LOCATION,REGISTRATION_STATUS,PRIOR_EDU_STATUS,LANGUAGE_TEST_RESULTS,UPPER_YEAR_STUDENT_REQUEST,DATE_ENROLLMENT_REQUEST,FINANCING,STUDY_CHECK_PARTICIPATION,FLEXIBLE_STUDY_PARTICIPATION,EXAM_ADMINISTERED,DATE_EXAM_STARTED,EXAM_PROG_DETAILS,DATE_EXAM_CONDUCTED,EXAM_FINAL_RESULT,FIRST_DEGREE_CLASSIFICATION,EXAM_REGISTRATION_DATE,DATE_EXAM_DETAILS_MODIFIED,EXAM_DETAILS_SENT_DUO,FROZEN_STUDENT_STATUS,HONORS_PROG_PARTICIPATION,PRIOR_EDUCATION,PRIOR_FINAL_EXAM_DATE,SCHOOL_DESCRIPTION,PRIOR_DIMPLOMA_OBTAINTION,PRIOR_VERIFICATION_STATUS,PRIOR_VERIFICATION_DATE,PRIOR_EDUCATION_DESCRIPTION,BIRTH_DATE,GENDER,NATIONALITY,YEAR_STARTED_HU,PREFERRED_EDUCATION,PRIOR_QUALIFICATION_TYPE,INFO_CURRENT,PRIOR_EDUCATION_IBG,STUDENT_AGE,ENROLLMENT_WINDOW,PRIOR_EXAM_YEAR,EXAM_BEFORE_ENROLLMENT_STATUS,DROPOUT_RISK,YEAR
46,408645,BTLCCY,2021,2021-09-01,2022-08-31,S,D,V,4.0,2021-08-11,34396.0,2021-08-12,UTRECHT,I,S,N,N,2021-08-02,J,NVT,N,B,2023-09-01,TCHY-BACHV-23,2024-06-28,absent,J,2015-05-29,2024-07-01,N,N,N,371,2018-06-29,14SM04,J,GD,2018-06-29,J,1999-12-29,M,NL,2019.0,J,HAVO,J,371,21,4,2018,done,1,2021
82,440985,BTLCCE,2021,2021-09-01,2022-08-31,S,D,V,4.0,2021-07-19,34275.0,2021-07-29,UTRECHT,I,S,N,N,2021-06-28,J,NVT,N,B,2021-09-01,TCHT-BACHV-21,2024-06-28,absent,J,2015-05-29,2024-07-01,N,N,N,591,2019-06-12,25DW00,N,GV,2020-07-27,N,2003-10-08,V,NL,2020.0,J,HBO,J,591,17,9,2019,done,1,2021
87,351676,BGHBHU,2021,2021-09-01,2022-08-31,S,B,V,4.0,2021-06-26,34091.0,2021-07-29,UTRECHT,I,S,N,N,2021-06-26,J,NVT,N,B,2020-09-01,GHU-HF-20,2023-08-31,passed,J,2023-09-12,2023-09-04,J,J,N,591,2023-08-31,25DW00,J,GD,2023-08-31,N,1997-12-06,V,NL,2019.0,J,HBO,J,591,23,10,2023,pending,0,2021
226,336634,BOEVSCH2,2021,2021-09-01,2022-08-31,S,D,V,4.0,2021-08-27,35199.0,2021-08-31,UTRECHT,I,S,N,N,2021-08-27,J,NVT,N,B,2017-09-01,TCIF-VSIEBAC-17,2024-06-28,absent,J,2015-05-29,2024-07-01,N,J,N,370,2019-06-12,02TG00,N,N,2013-03-21,J,1998-08-12,M,NL,2016.0,J,HAVO,J,370,23,1,2019,pending,1,2021
228,445315,BGHBFA,2021,2021-09-01,2022-08-31,S,D,V,4.0,2021-07-29,34090.0,2021-08-03,UTRECHT,I,S,N,N,2021-07-14,J,NVT,N,B,2021-09-01,GFA-HF.VT-21,2024-06-28,absent,J,2015-05-29,2024-07-01,N,N,N,601,2020-08-06,25DW00,J,DD,2020-08-13,N,1999-02-03,V,NL,2020.0,J,VO,J,601,22,7,2020,pending,1,2021
344,413560,BGHBCE,2021,2021-09-01,2022-08-31,S,B,V,4.0,2021-07-14,34571.0,2021-07-29,UTRECHT,I,S,N,N,2021-06-09,J,NVT,N,B,2020-09-01,GIBS-HF.VTOT-20,2024-06-28,absent,J,2015-05-29,2024-07-01,N,J,N,374,2018-06-29,23HC01,J,GD,2018-06-29,J,2001-04-06,V,NL,2019.0,J,HAVO,J,374,20,12,2018,done,1,2021
393,393025,BMBDK,2021,2021-09-01,2022-01-21,S,D,V,4.0,2021-08-23,34035.0,2021-08-24,UTRECHT,U,S,N,N,2021-08-13,J,NVT,N,B,2019-09-01,MBDKU-BV-18,2024-05-30,passed,J,2015-05-29,2024-06-13,N,J,N,611,2022-01-21,25DW00,J,GD,2022-01-21,N,2000-04-01,M,NL,2018.0,J,HBO,J,611,21,3,2022,pending,0,2021
406,261147,BOEVWIS2,2021,2021-09-01,2022-08-31,S,D,D,4.0,2021-06-16,35221.0,2021-07-29,UTRECHT,I,S,N,J,2021-06-12,J,J,N,B,2015-09-01,TCIF-VSIEBAC-15,2024-06-28,absent,J,2015-05-29,2024-07-01,N,J,N,SL 00591-02,2019-06-12,25DW00,N,GV,2013-03-21,N,1994-12-31,M,NL,2014.0,N,HBO,J,591,26,12,2019,pending,1,2021
413,274166,BAPE,2021,2021-09-01,2022-08-31,S,B,V,4.0,2021-08-22,35158.0,2021-08-24,AMERSFOORT,I,S,N,N,2021-08-22,J,NVT,N,HN,2019-02-01,A-HONOURS,2024-06-28,absent,J,2015-05-29,2024-07-01,N,J,N,741,2019-06-12,21PM00,N,N,2013-03-21,N,1994-07-11,V,NL,2013.0,J,WO,J,741,27,1,2019,pending,1,2021
484,255477,BASW,2021,2021-12-01,2022-08-31,S,B,V,0.0,2021-11-10,34116.0,2021-07-29,UTRECHT,G,N,N,J,2021-11-10,J,J,N,D,2021-07-01,TLSC-PROPV-21,2024-06-28,absent,J,2015-05-29,2024-07-01,N,N,N,10710,2009-03-04,04EM00,J,GD,2009-03-04,J,1988-05-04,V,NL,2011.0,N,MBO,J,10710,33,3,2009,done,1,2021
572,396686,BTLCLS,2021,2021-09-01,2022-08-31,S,B,D,4.0,2021-08-18,34397.0,2021-08-19,UTRECHT,I,S,N,N,2021-08-18,J,NVT,N,B,2019-09-01,TLSC-BASD-19,2023-11-07,MG,J,2023-12-04,2023-11-21,J,J,N,591,2023-11-07,25DW00,J,GD,2023-11-07,N,1988-04-18,M,NL,2018.0,J,HBO,J,591,33,2,2023,pending,0,2021
614,258831,BOTAENG2,2021,2021-09-01,2022-08-31,S,B,D,4.0,2021-07-13,35195.0,2021-07-29,UTRECHT,I,S,N,N,2021-07-13,J,NVT,J,B,2012-09-01,OAENG-HFDT-12,2024-06-28,absent,J,2015-05-29,2024-07-01,N,N,N,611,2014-06-26,25DW00,J,GD,2014-06-26,J,1983-10-11,V,NIG,2012.0,J,HBO,J,611,37,7,2014,pending,1,2021
642,391278,BTLCCY,2021,2021-09-01,2022-08-31,S,B,V,4.0,2021-07-08,34396.0,2021-07-29,UTRECHT,I,S,N,N,2021-06-08,J,NVT,N,B,2023-09-01,OAKOP-22,2024-06-24,passed,J,2015-05-29,2024-07-04,N,J,N,370,2018-06-13,16YV00,J,GD,2018-06-13,N,2000-09-02,V,NL,2018.0,J,HAVO,J,370,20,12,2018,pending,0,2021
716,301838,BMBDK,2021,2021-09-01,2022-08-31,S,D,V,4.0,2021-08-29,34035.0,2021-08-31,UTRECHT,I,S,N,N,2021-08-24,J,NVT,N,D,2015-09-01,GZO-PROP-15,2024-06-28,absent,J,2015-05-29,2024-07-01,N,J,N,SL 00591-05,2019-06-12,25DW00,N,N,2013-03-21,N,1996-04-17,M,NL,2015.0,N,HBO,J,591,25,1,2019,pending,1,2021
754,310198,BOTAENG2,2021,2021-09-01,2022-08-31,S,B,V,4.0,2021-08-18,35195.0,2021-08-19,UTRECHT,I,S,N,N,2021-08-16,J,NVT,N,B,2016-09-01,OAENG-HFVT-16,2024-01-26,passed,J,2015-05-29,2024-02-08,N,J,N,611,2018-04-12,25DW00,J,GD,2018-04-12,N,1998-09-25,M,NL,2015.0,J,HBO,J,611,22,2,2018,pending,0,2021
757,443723,BGHBHB,2021,2021-09-01,2022-08-31,S,B,V,4.0,2021-08-07,34560.0,2021-08-12,UTRECHT,I,S,N,N,2021-07-08,J,NVT,N,B,2020-09-01,GVE-HF-20,2024-02-15,passed,J,2024-03-01,2024-02-26,J,J,N,373,2019-06-12,00CB01,J,GD,2019-06-12,N,2001-05-28,V,NL,2020.0,J,HAVO,J,373,20,8,2019,done,0,2021
795,436154,BJCB,2021,2021-09-01,2022-08-31,S,B,V,4.0,2021-08-10,35516.0,2021-08-12,UTRECHT,I,S,N,N,2021-06-10,J,NVT,N,B,2021-09-01,JCB-BV-21,2024-06-14,passed,J,2015-05-29,2024-06-20,N,J,N,591,2019-06-12,25DW00,N,GV,2021-07-26,N,2001-08-27,V,NL,2020.0,J,HBO,J,591,19,12,2019,done,0,2021
896,326948,BJDE,2021,2021-09-01,2022-08-31,S,B,V,4.0,2021-07-27,34092.0,2021-07-29,UTRECHT,I,S,N,N,2021-06-15,J,NVT,N,D,2019-09-01,JDE-DV-19,2021-03-26,passed,N,2021-05-25,2021-04-20,J,J,N,373,2016-06-30,30DU00,J,GD,2016-06-30,N,1999-06-03,M,NL,2018.0,N,HAVO,J,373,22,11,2016,done,0,2021
1007,358305,BMIBU,2021,2021-09-01,2022-08-31,S,B,V,4.0,2021-08-16,30029.0,2021-08-17,UTRECHT,I,S,N,N,2021-08-02,J,NVT,N,D,2017-09-01,MBIB-DV-17-FT,2018-11-07,passed,N,2018-12-20,2018-12-14,J,J,N,SL 00591-03,2019-06-12,25DW00,N,N,2013-03-21,N,1999-06-23,V,NL,2017.0,N,HBO,J,591,22,4,2019,pending,0,2021
1060,315813,BMBDK,2021,2021-09-01,2022-08-31,S,B,V,4.0,2021-08-30,34035.0,2021-08-31,UTRECHT,I,S,N,N,2021-08-30,J,NVT,N,D,2016-09-01,MBME-DV-16,2017-07-11,passed,N,2017-09-14,2017-08-21,J,J,N,372,2014-06-12,00TL00,J,GD,2014-06-12,J,1996-09-11,M,NL,2015.0,N,HAVO,J,372,24,0,2014,done,0,2021
1098,274166,BAPE,2021,2021-09-01,2022-08-31,S,B,V,4.0,2021-08-22,35158.0,2021-08-24,AMERSFOORT,I,S,N,N,2021-08-22,J,NVT,N,B,2018-09-01,APE-BACHV-18,2024-06-28,absent,J,2015-05-29,2024-07-01,N,J,N,SL 00611-01,2019-04-12,25DW16,J,GD,2019-04-12,N,1994-07-11,V,NL,2013.0,N,HBO,J,611,27,1,2019,pending,1,2021
1137,413338,BJCB,2021,2021-09-01,2022-08-31,S,D,V,4.0,2021-07-19,35516.0,2021-07-29,UTRECHT,I,S,N,N,2021-06-12,J,NVT,N,HN,2021-07-01,T-HONOURS,2024-06-28,absent,J,2015-05-29,2024-07-01,N,J,N,2,2019-06-12,25DW00,N,N,2013-03-21,N,1996-10-17,V,CHI,2020.0,J,HAVO,N,2,24,12,2019,done,1,2021
1153,401891,BGHBOP,2021,2021-09-01,2022-08-31,S,B,V,4.0,2021-06-24,34549.0,2021-07-29,UTRECHT,I,S,N,N,2021-06-08,J,NVT,N,D,2019-09-01,GOO-PROP.OP-19,2021-04-09,passed,N,2021-06-24,2021-06-17,J,J,N,591,2023-08-28,25DW00,J,GD,2023-08-28,N,2000-02-18,V,NL,2019.0,J,HBO,J,591,21,12,2023,pending,0,2021
1203,358305,BMIBU,2021,2021-09-01,2022-08-31,S,B,V,4.0,2021-08-16,30029.0,2021-08-17,UTRECHT,I,S,N,N,2021-08-02,J,NVT,N,B,2018-09-01,MBIB-BV-17-FT,2024-03-19,passed,J,2024-04-15,2024-04-02,J,J,N,SL 00591-02,2019-06-12,25DW00,N,N,2013-03-21,N,1999-06-23,V,NL,2017.0,N,HBO,J,591,22,4,2019,pending,0,2021
1247,315813,BMBDK,2021,2021-09-01,2022-08-31,S,B,V,4.0,2021-08-30,34035.0,2021-08-31,UTRECHT,I,S,N,N,2021-08-30,J,NVT,N,D,2016-09-01,MBME-DV-16,2017-07-11,passed,N,2017-09-14,2017-08-21,J,J,N,SL 00591-02,2019-06-12,25DW00,N,GV,2013-03-21,N,1996-09-11,M,NL,2015.0,N,HBO,J,591,24,0,2019,pending,0,2021
1253,444173,BJCB,2021,2021-09-01,2022-08-31,S,D,V,4.0,2021-08-21,35516.0,2021-08-24,UTRECHT,I,S,N,N,2021-06-28,J,NVT,N,D,2020-09-01,JCB-DV-20,2023-06-15,passed,N,2023-07-11,2023-07-03,J,J,N,611,2023-06-15,25DW00,J,GD,2023-06-15,N,2003-09-19,M,NL,2020.0,J,HBO,J,611,17,9,2023,pending,0,2021
1255,421050,BARE,2021,2021-09-01,2022-06-21,S,D,V,4.0,2021-06-22,39205.0,2021-07-29,UTRECHT,U,S,N,N,2021-06-08,J,NVT,N,B,2020-09-01,ADR-HBRV-B-20,2024-06-28,absent,J,2015-05-29,2024-07-01,N,N,N,591,2019-06-12,25DW00,N,GV,2019-08-23,N,1999-11-27,V,NL,2019.0,N,HBO,J,591,21,12,2019,pending,1,2021
1271,344627,BAPE,2021,2021-09-01,2022-08-31,S,B,V,4.0,2021-09-29,35158.0,2021-09-30,AMERSFOORT,I,S,N,N,2021-08-31,J,NVT,N,D,2016-09-01,APE-PROPV-16,2019-04-08,passed,N,2019-05-14,2019-04-29,J,J,N,00741-1,2019-06-12,25DW00,N,N,2013-03-21,N,1995-03-15,V,NL,2016.0,N,WO,J,741,26,0,2019,pending,0,2021
1321,436068,BAIV,2021,2021-09-01,2022-08-31,S,B,V,4.0,2021-07-22,39268.0,2021-07-29,UTRECHT,I,S,N,N,2021-06-18,J,NVT,N,D,2020-09-01,AIV-PROPV-20,2021-06-25,passed,N,2021-09-10,2021-07-15,J,J,N,373,2020-06-04,03XS00,J,GD,2020-06-04,N,2003-05-08,V,NL,2020.0,N,HAVO,J,373,18,11,2020,pending,0,2021
1336,409894,BJJO,2021,2021-09-01,2022-08-31,S,B,V,4.0,2021-07-07,34686.0,2021-07-29,UTRECHT,I,S,N,N,2021-07-01,J,NVT,N,D,2019-09-01,JJO-DV-19,2020-06-15,passed,N,2020-07-28,2020-07-06,J,J,N,372,2019-06-12,20ST00,J,GD,2019-06-12,J,2001-03-09,M,NL,2019.0,J,HAVO,J,372,20,9,2019,pending,0,2021
1413,409337,BAIV,2021,2021-09-01,2022-08-31,S,B,V,4.0,2021-08-27,39268.0,2021-08-31,UTRECHT,I,S,N,N,2021-08-21,J,NVT,N,B,2020-09-01,AIV-BACHV-20,2024-06-28,absent,J,2015-05-29,2024-07-01,N,N,N,179,2019-06-12,14SM03,J,GD,2019-06-12,N,2001-09-14,M,NL,2019.0,N,VWO,J,179,19,2,2019,pending,1,2021
1489,438794,BTICIC,2021,2021-09-01,2022-08-31,S,D,V,4.0,2021-08-25,30020.0,2021-08-26,UTRECHT,I,S,N,N,2021-06-10,J,NVT,N,D,2020-09-01,TICT-VPICT-20,2024-06-28,absent,J,2015-05-29,2024-07-01,N,N,N,591,2019-06-12,25DW00,N,GV,2013-03-21,N,2003-03-05,M,NL,2020.0,J,HBO,J,591,18,12,2019,done,1,2021
1491,437615,BGHBLO,2021,2021-09-01,2022-04-08,S,D,V,4.0,2021-07-29,34578.0,2021-08-03,UTRECHT,U,S,N,N,2021-07-26,J,NVT,N,D,2020-09-01,GLO-PROP-20,2022-04-08,passed,N,2022-05-30,2022-05-09,J,J,N,591,2019-06-12,25DW00,N,GV,2022-05-30,N,2001-07-24,V,NL,2020.0,N,HBO,J,591,20,5,2019,done,0,2021
1532,436068,BAIV,2021,2021-09-01,2022-08-31,S,B,V,4.0,2021-07-22,39268.0,2021-07-29,UTRECHT,I,S,N,N,2021-06-18,J,NVT,N,HN,2021-09-01,A-HONOURS,2024-06-28,absent,J,2015-05-29,2024-07-01,N,N,N,611,2021-06-25,25DW00,J,GD,2021-06-25,N,2003-05-08,V,NL,2020.0,J,HBO,J,611,18,11,2021,pending,1,2021
1591,445240,BGHBLO,2021,2021-12-01,2022-08-31,S,B,V,4.0,2021-11-10,34578.0,2021-07-29,UTRECHT,I,S,N,J,2021-11-08,J,J,N,HN,2023-09-01,G-HONOURS,2024-06-28,absent,J,2015-05-29,2024-07-01,N,N,N,591,2019-06-12,30GB00,N,GV,2021-08-24,N,2000-10-23,V,NL,2021.0,J,HBO,J,591,21,3,2019,done,1,2021
1645,328131,BOTAENG2,2021,2021-09-01,2022-08-31,S,B,V,4.0,2021-06-26,35195.0,2021-07-29,UTRECHT,I,S,N,N,2021-06-08,J,NVT,N,D,2017-09-01,OAENG-PRVT-17,2019-08-26,passed,N,2019-09-26,2019-09-12,J,J,N,611,2019-08-26,25DW00,J,GD,2019-08-26,N,1997-11-23,V,NL,2016.0,J,HBO,J,611,23,12,2019,pending,0,2021
1690,319188,MOEVBIO,2021,2021-09-01,2022-08-31,S,M,D,4.0,2021-08-03,45279.0,2021-08-05,UTRECHT,I,S,N,N,2021-08-03,J,NVT,N,D,2015-08-31,OASCH-PRDT-15,2024-06-28,absent,J,2015-05-29,2024-07-01,N,J,N,Others,2014-03-28,25KB01,J,DD,2016-05-25,N,1991-04-18,V,NL,2015.0,N,HBO,N,590,30,4,2014,done,1,2021
1768,418126,BJJO,2021,2021-09-01,2022-08-31,S,B,V,4.0,2021-07-22,34686.0,2021-07-29,UTRECHT,I,S,N,N,2021-07-22,J,NVT,N,D,2019-09-01,JJO-DV-19,2021-01-15,passed,N,2021-03-05,2021-02-11,J,J,N,591,2019-06-12,25DW00,N,GV,2021-03-05,N,2001-06-30,V,NL,2019.0,J,HBO,J,591,20,6,2019,pending,0,2021
1778,376335,BGHBFY,2021,2021-09-01,2022-08-31,S,B,V,4.0,2021-07-05,34570.0,2021-07-29,UTRECHT,I,S,N,N,2021-06-15,J,NVT,N,B,2019-09-01,GIBS-HF.VTFT-19,2023-08-30,passed,J,2023-09-12,2023-09-04,J,J,N,371,2017-06-30,02TE00,J,GD,2017-06-30,J,2000-02-18,V,NL,2018.0,N,HAVO,J,371,21,11,2017,done,0,2021
1819,443646,BOEVSCH2,2021,2021-09-01,2022-08-31,S,D,V,4.0,2021-08-26,35199.0,2021-08-26,UTRECHT,I,S,N,N,2021-04-27,J,J,N,D,2020-09-01,OASCH-PRVT-20,2024-06-28,absent,J,2015-05-29,2024-07-01,N,J,N,371,2019-06-12,01LZ00,J,GD,2019-06-12,N,2001-09-17,M,NL,2020.0,N,HAVO,J,371,19,18,2019,done,1,2021
1888,428573,BASW,2021,2021-09-01,2022-08-31,S,D,V,4.0,2021-08-24,34116.0,2021-08-24,UTRECHT,I,S,N,N,2021-08-12,J,NVT,N,D,2020-09-01,OATESPA-PFFT-20,2024-06-28,absent,J,2015-05-29,2024-07-01,N,J,N,Others,2015-06-29,25DW00,J,N,2013-03-21,N,1995-06-29,V,NL,2020.0,J,MBO,J,10040,26,3,2015,done,1,2021
1919,315813,BMBDK,2021,2021-09-01,2022-08-31,S,B,V,4.0,2021-08-30,34035.0,2021-08-31,UTRECHT,I,S,N,N,2021-08-30,J,NVT,N,D,2016-09-01,MBME-DV-16,2017-07-11,passed,N,2017-09-14,2017-08-21,J,J,N,372,2014-06-12,00TL00,J,GD,2014-06-12,J,1996-09-11,M,NL,2015.0,J,HAVO,J,372,24,0,2014,done,0,2021
1924,336634,BOEVSCH2,2021,2021-09-01,2022-08-31,S,D,V,4.0,2021-08-27,35199.0,2021-08-31,UTRECHT,I,S,N,N,2021-08-27,J,NVT,N,D,2020-09-01,OASCH-PRVT-20,2024-06-28,absent,J,2015-05-29,2024-07-01,N,N,N,370,2019-06-12,02TG00,N,N,2013-03-21,J,1998-08-12,M,NL,2016.0,N,HAVO,J,370,23,1,2019,pending,1,2021
1954,443723,BGHBHB,2021,2021-09-01,2022-08-31,S,B,V,4.0,2021-08-07,34560.0,2021-08-12,UTRECHT,I,S,N,N,2021-07-08,J,NVT,N,B,2020-09-01,GVE-HF-20,2024-02-15,passed,J,2024-03-01,2024-02-26,J,J,N,372,2019-06-12,00CB01,J,GD,2019-06-12,N,2001-05-28,V,NL,2020.0,N,HAVO,J,372,20,8,2019,done,0,2021
1969,440985,BTLCCE,2021,2021-09-01,2022-08-31,S,D,V,4.0,2021-07-19,34275.0,2021-07-29,UTRECHT,I,S,N,N,2021-06-28,J,NVT,N,D,2020-09-01,TCHM-PROPV-20,2023-06-19,passed,N,2023-07-28,2023-07-12,J,J,N,591,2019-06-12,25DW00,N,GV,2020-07-27,N,2003-10-08,V,NL,2020.0,J,HBO,J,591,17,9,2019,done,0,2021
2041,436154,BJCB,2021,2021-09-01,2022-08-31,S,B,V,4.0,2021-08-10,35516.0,2021-08-12,UTRECHT,I,S,N,N,2021-06-10,J,NVT,N,D,2020-09-01,JCB-DV-20,2021-06-27,passed,N,2021-07-26,2021-07-08,J,J,N,173,2019-06-12,30UB00,J,GD,2019-06-12,J,2001-08-27,V,NL,2020.0,J,VWO,J,173,19,12,2019,done,0,2021
2060,392547,BMCE,2021,2021-09-01,2022-08-31,S,B,V,4.0,2021-08-26,34402.0,2021-08-26,UTRECHT,I,S,N,N,2021-07-15,J,NVT,N,B,2024-07-01,GIBS-HF.DT-24,2024-06-28,absent,J,2015-05-29,2024-07-01,N,N,N,591,2022-12-12,25DW00,J,GD,2022-12-12,N,1997-07-18,M,NL,2018.0,J,HBO,J,591,23,7,2022,pending,1,2021
2062,444173,BJCB,2021,2021-09-01,2022-08-31,S,D,V,4.0,2021-08-21,35516.0,2021-08-24,UTRECHT,I,S,N,N,2021-06-28,J,NVT,N,D,2020-09-01,JCB-DV-20,2023-06-15,passed,N,2023-07-11,2023-07-03,J,J,N,373,2020-06-04,00ML05,J,GD,2020-06-04,J,2003-09-19,M,NL,2020.0,J,HAVO,J,373,17,9,2020,pending,0,2021
2088,391278,BTLCCY,2021,2021-09-01,2022-08-31,S,B,V,4.0,2021-07-08,34396.0,2021-07-29,UTRECHT,I,S,N,N,2021-06-08,J,NVT,N,B,2023-09-01,OAKOP-22,2024-06-24,passed,J,2015-05-29,2024-07-04,N,J,N,591,2019-06-12,25DW00,N,GV,2023-06-16,N,2000-09-02,V,NL,2018.0,N,HBO,J,591,20,12,2019,pending,0,2021
2147,438476,BTIBTB,2021,2021-09-01,2022-08-31,S,B,V,4.0,2021-08-22,34421.0,2021-08-24,UTRECHT,I,S,N,N,2021-06-27,J,NVT,N,B,2021-09-01,TETB-VBAC-21,2024-06-28,absent,J,2015-05-29,2024-07-01,N,N,N,611,2021-06-28,25DW00,J,GD,2021-06-28,N,2002-06-28,M,NL,2020.0,J,HBO,J,611,18,9,2021,pending,1,2021
2221,255477,BAMW,2021,2021-12-01,2022-08-31,S,B,V,4.0,2021-11-24,34616.0,2021-11-25,UTRECHT,I,S,N,J,2021-11-24,J,NVT,N,B,2011-09-01,AMWU-BACHV-11,2024-06-28,absent,J,2015-05-29,2024-07-01,N,J,N,591,2019-06-12,25DW00,N,N,2013-03-21,N,1988-05-04,V,NL,2011.0,N,HBO,J,591,33,1,2019,pending,1,2021
2229,439210,BJJO,2021,2021-09-01,2022-04-07,S,D,V,4.0,2021-07-21,34686.0,2021-07-29,UTRECHT,U,S,N,N,2021-06-08,J,NVT,N,D,2020-09-01,JJO-DV-20,2022-04-07,passed,N,2022-05-16,2022-05-09,J,J,N,373,2020-06-19,02ME02,J,GD,2020-06-19,J,2003-11-05,V,NL,2020.0,J,HAVO,J,373,17,12,2020,pending,0,2021
2278,415756,BOGTNGTTOL,2021,2021-09-01,2022-08-31,S,D,D,4.0,2021-09-02,34104.0,2021-09-02,UTRECHT,I,S,N,J,2021-07-23,B,NVT,N,B,2019-09-01,O-EXTERN-17,2024-06-28,absent,J,2015-05-29,2024-07-01,N,J,N,591,2019-06-12,25DW00,N,GV,2022-08-31,N,1998-10-26,V,NL,2019.0,N,HBO,J,591,22,6,2019,pending,1,2021
2285,445282,BJJO,2021,2021-09-01,2022-02-06,S,D,V,4.0,2021-08-25,34686.0,2021-08-26,UTRECHT,U,S,N,N,2021-06-20,J,NVT,N,D,2020-09-01,JJO-DV-20,2022-02-06,passed,N,2022-03-15,2022-02-28,J,J,N,Others,2019-06-12,25PZ00,N,N,2013-03-21,N,2000-11-18,V,NL,2020.0,N,HAVO,J,371,20,10,2019,done,0,2021
2310,444173,BJCB,2021,2021-09-01,2022-08-31,S,D,V,4.0,2021-08-21,35516.0,2021-08-24,UTRECHT,I,S,N,N,2021-06-28,J,NVT,N,D,2020-09-01,JCB-DV-20,2023-06-15,passed,N,2023-07-11,2023-07-03,J,J,N,591,2019-06-12,25DW00,N,GV,2020-06-19,N,2003-09-19,M,NL,2020.0,J,HBO,J,591,17,9,2019,done,0,2021
2327,442999,BJCB,2021,2021-09-01,2022-08-31,S,B,V,4.0,2021-07-27,35516.0,2021-07-29,UTRECHT,I,S,N,N,2021-06-08,J,NVT,N,B,2021-09-01,JCB-BV-21,2024-06-28,absent,J,2015-05-29,2024-07-01,N,N,N,591,2024-05-31,25DW00,J,GD,2024-05-31,N,2001-03-11,V,DUI,2020.0,J,HBO,J,591,20,12,2024,pending,1,2021
2378,296084,BMFC,2021,2021-09-01,2022-08-31,S,B,V,4.0,2021-08-23,35520.0,2021-08-24,UTRECHT,I,S,N,N,2021-08-19,J,NVT,N,D,2014-09-01,MEBE-DV-14,2019-12-20,passed,N,2020-02-13,2020-01-24,J,J,N,5372,2014-06-25,25LH00,J,GD,2014-06-25,J,1993-04-26,M,NL,2014.0,N,HAVO,J,372,28,2,2014,pending,0,2021
2443,274166,BAPE,2021,2021-09-01,2022-08-31,S,B,V,4.0,2021-08-22,35158.0,2021-08-24,AMERSFOORT,I,S,N,N,2021-08-22,J,NVT,N,D,2017-09-01,APE-PROPV-17,2019-04-12,passed,N,2019-06-12,2019-05-23,J,J,N,274,2012-06-27,16VK00,J,GD,2012-06-27,J,1994-07-11,V,NL,2013.0,N,VWO,J,174,27,1,2012,done,0,2021
2460,310198,BOTAENG2,2021,2021-09-01,2022-08-31,S,B,V,4.0,2021-08-18,35195.0,2021-08-19,UTRECHT,I,S,N,N,2021-08-16,J,NVT,N,D,2015-08-31,OAENG-PRVT-15,2018-04-12,passed,N,2018-05-29,2018-04-24,J,J,N,372,2015-06-11,17AN00,J,GD,2015-06-11,J,1998-09-25,M,NL,2015.0,J,HAVO,J,372,22,2,2015,pending,0,2021
2482,413560,BGHBCE,2021,2021-09-01,2022-08-31,S,B,V,4.0,2021-07-14,34571.0,2021-07-29,UTRECHT,I,S,N,N,2021-06-09,J,NVT,N,D,2024-09-01,TBBE-PROPV-24,2024-06-28,absent,J,2015-05-29,2024-07-01,N,N,N,611,2021-06-25,25DW00,J,GD,2021-06-25,N,2001-04-06,V,NL,2019.0,J,HBO,J,611,20,12,2021,pending,1,2021
2547,274166,BAPE,2021,2021-09-01,2022-08-31,S,B,V,4.0,2021-08-22,35158.0,2021-08-24,AMERSFOORT,I,S,N,N,2021-08-22,J,NVT,N,D,2013-09-01,GFY-PROP.V-13,2015-03-19,passed,N,2015-05-29,2015-04-08,J,J,N,591,2019-06-12,25DW00,N,N,2013-03-21,N,1994-07-11,V,NL,2013.0,N,HBO,J,591,27,1,2019,pending,0,2021
2571,358305,BMIBU,2021,2021-09-01,2022-08-31,S,B,V,4.0,2021-08-16,30029.0,2021-08-17,UTRECHT,I,S,N,N,2021-08-02,J,NVT,N,B,2018-09-01,MBIB-BV-17-FT,2024-03-19,passed,J,2015-05-29,2024-04-02,N,J,N,SL 00591-03,2019-06-12,25DW00,N,N,2013-03-21,N,1999-06-23,V,NL,2017.0,N,HBO,J,591,22,4,2019,pending,0,2021
