,STUDENT_NUM,STUDY_PROGRAM,ACADEMIC_YEAR,START_DATE,END_DATE,ENROLLMENT_TYPE,EXAM_TYPE,FULL_TIME_PART,PROGRAM_ACTIVE_CODE,DATE_ACTIVE_CODE_MODIFIED,HIGHER_EDU_REGISTER,DATE_REGIS_PROOF,ESTABLISHMENT_LOCATION,REGISTRATION_STATUS,PRIOR_EDU_STATUS,LANGUAGE_TEST_RESULTS,UPPER_YEAR_STUDENT_REQUEST,DATE_ENROLLMENT_REQUEST,FINANCING,STUDY_CHECK_PARTICIPATION,FLEXIBLE_STUDY_PARTICIPATION,EXAM_ADMINISTERED,DATE_EXAM_STARTED,EXAM_PROG_DETAILS,DATE_EXAM_CONDUCTED,EXAM_FINAL_RESULT,FIRST_DEGREE_CLASSIFICATION,EXAM_REGISTRATION_DATE,DATE_EXAM_DETAILS_MODIFIED,EXAM_DETAILS_SENT_DUO,FROZEN_STUDENT_STATUS,HONORS_PROG_PARTICIPATION,PRIOR_EDUCATION,PRIOR_FINAL_EXAM_DATE,SCHOOL_DESCRIPTION,PRIOR_DIMPLOMA_OBTAINTION,PRIOR_VERIFICATION_STATUS,PRIOR_VERIFICATION_DATE,PRIOR_EDUCATION_DESCRIPTION,BIRTH_DATE,GENDER,NATIONALITY,YEAR_STARTED_HU,PREFERRED_EDUCATION,PRIOR_QUALIFICATION_TYPE,INFO_CURRENT,PRIOR_EDUCATION_IBG,STUDENT_AGE,ENROLLMENT_WINDOW,PRIOR_EXAM_YEAR,EXAM_BEFORE_ENROLLMENT_STATUS,DROPOUT_RISK,YEAR
40383,445240,BGHBLO,2021,2021-12-01,2022-08-31,S,B,V,4.0,2021-11-10,34578.0,2021-07-29,UTRECHT,I,S,N,J,2021-11-08,J,J,N,B,2021-12-01,GLO-HF-21,2024-06-28,absent,J,2015-05-29,2024-07-01,N,N,N,591,2019-06-12,30GB00,N,GV,2021-08-24,N,2000-10-23,V,NL,2021.0,J,HBO,J,591,21,3,2019,done,1,2021
40415,384156,BTICIC,2021,2021-09-01,2022-08-31,S,B,V,4.0,2021-07-21,30020.0,2021-07-29,UTRECHT,I,S,N,N,2021-06-08,J,NVT,N,B,2019-09-01,TCTI-VTIBAC-19E,2024-06-28,absent,J,2015-05-29,2024-07-01,N,N,N,591,2019-06-12,25DW00,N,GV,2013-03-21,N,1999-12-25,M,NL,2018.0,J,HBO,J,591,21,12,2019,pending,1,2021
40457,274166,BAPE,2021,2021-09-01,2022-08-31,S,B,V,4.0,2021-08-22,35158.0,2021-08-24,AMERSFOORT,I,S,N,N,2021-08-22,J,NVT,N,HN,2019-02-01,A-HONOURS,2024-06-28,absent,J,2015-05-29,2024-07-01,N,N,N,SL 00591-02,2019-06-12,25DW16,N,GV,2019-06-12,N,1994-07-11,V,NL,2013.0,N,HBO,J,591,27,1,2019,pending,1,2021
40515,408645,BTLCCY,2021,2021-09-01,2022-08-31,S,D,V,4.0,2021-08-11,34396.0,2021-08-12,UTRECHT,I,S,N,N,2021-08-02,J,NVT,N,D,2019-09-01,TLSC-PROPV-19,2024-06-28,absent,J,2015-05-29,2024-07-01,N,J,N,591,2019-06-12,25DW00,N,GV,2013-03-21,N,1999-12-29,M,NL,2019.0,N,HBO,J,591,21,4,2019,pending,1,2021
40596,440118,BTBE,2021,2021-09-01,2022-08-31,S,D,V,4.0,2021-08-27,39280.0,2021-08-31,UTRECHT,I,S,N,N,2021-04-06,J,J,N,D,2020-09-01,MBLM-DV-20,2024-06-28,absent,J,2015-05-29,2024-07-01,N,J,N,591,2019-06-12,25DW00,N,N,2013-03-21,N,2001-06-17,M,NL,2020.0,J,HBO,J,591,19,21,2019,done,1,2021
40648,255477,BAMW,2021,2021-12-01,2022-08-31,S,B,V,4.0,2021-11-24,34616.0,2021-11-25,UTRECHT,I,S,N,J,2021-11-24,J,NVT,N,D,2021-07-01,TLSC-PROPV-21,2024-06-28,absent,J,2015-05-29,2024-07-01,N,N,N,591,2019-06-12,25DW00,N,GV,2022-09-19,N,1988-05-04,V,NL,2011.0,N,HBO,J,591,33,1,2019,pending,1,2021
40671,409894,BJJO,2021,2021-09-01,2022-08-31,S,B,V,4.0,2021-07-07,34686.0,2021-07-29,UTRECHT,I,S,N,N,2021-07-01,J,NVT,N,B,2020-09-01,JJO-BV-20,2024-06-19,MG,J,2024-06-28,2024-06-24,J,J,N,591,2019-06-12,25DW00,N,GV,2013-03-21,N,2001-03-09,M,NL,2019.0,J,HBO,J,591,20,9,2019,pending,0,2021
40713,442999,BJCB,2021,2021-09-01,2022-08-31,S,B,V,4.0,2021-07-27,35516.0,2021-07-29,UTRECHT,I,S,N,N,2021-06-08,J,NVT,N,B,2021-09-01,JCB-BV-21,2024-05-31,MG,J,2015-05-29,2024-06-20,N,J,N,801,2019-07-06,25DW00,J,DD,2020-05-20,N,2001-03-11,V,DUI,2020.0,N,HBO,J,801,20,12,2019,done,0,2021
40745,413560,BGHBCE,2021,2021-09-01,2022-08-31,S,B,V,4.0,2021-07-14,34571.0,2021-07-29,UTRECHT,I,S,N,N,2021-06-09,J,NVT,N,D,2019-09-01,GIBS-PROP.VT-19,2021-06-25,passed,N,2021-07-23,2021-07-08,J,J,N,591,2019-06-12,27NF01,N,N,2013-03-21,N,2001-04-06,V,NL,2019.0,J,HBO,J,591,20,12,2019,pending,0,2021
40788,409894,BJJO,2021,2021-09-01,2022-08-31,S,B,V,4.0,2021-07-07,34686.0,2021-07-29,UTRECHT,I,S,N,N,2021-07-01,J,NVT,N,B,2020-09-01,JJO-BV-20,2024-06-19,MG,J,2024-06-28,2024-06-24,J,J,N,372,2019-06-12,20ST00,J,GD,2019-06-12,J,2001-03-09,M,NL,2019.0,N,HAVO,J,372,20,9,2019,pending,0,2021
